:START_ID,:END_ID,:TYPE
0,175,IS_LINKED_TO
0,248,IS_LINKED_TO
0,74,IS_LINKED_TO
0,197,IS_LINKED_TO
0,357,IS_LINKED_TO
0,30,IS_LINKED_TO
0,440,IS_LINKED_TO
0,51,IS_LINKED_TO
0,31,IS_LINKED_TO
0,441,IS_LINKED_TO
0,389,IS_LINKED_TO
0,163,IS_LINKED_TO
0,303,IS_LINKED_TO
0,77,IS_LINKED_TO
0,41,IS_LINKED_TO
0,128,IS_LINKED_TO
0,78,IS_LINKED_TO
0,488,IS_LINKED_TO
0,464,IS_LINKED_TO
0,255,IS_LINKED_TO
0,44,IS_LINKED_TO
0,291,IS_LINKED_TO
0,466,IS_LINKED_TO
0,220,IS_LINKED_TO
0,9,IS_LINKED_TO
0,184,IS_LINKED_TO
0,21,IS_LINKED_TO
0,292,IS_LINKED_TO
0,447,IS_LINKED_TO
0,381,IS_LINKED_TO
0,492,IS_LINKED_TO
0,346,IS_LINKED_TO
0,457,IS_LINKED_TO
0,243,IS_LINKED_TO
0,458,IS_LINKED_TO
0,33,IS_LINKED_TO
0,415,IS_LINKED_TO
0,349,IS_LINKED_TO
0,313,IS_LINKED_TO
0,71,IS_LINKED_TO
0,35,IS_LINKED_TO
0,154,IS_LINKED_TO
0,88,IS_LINKED_TO
0,262,IS_LINKED_TO
0,351,IS_LINKED_TO
0,462,IS_LINKED_TO
0,236,IS_LINKED_TO
0,315,IS_LINKED_TO
0,1,IS_LINKED_TO
0,336,IS_LINKED_TO
0,201,IS_LINKED_TO
0,439,IS_LINKED_TO
0,484,IS_LINKED_TO
0,177,IS_LINKED_TO
0,91,IS_LINKED_TO
0,449,IS_LINKED_TO
0,375,IS_LINKED_TO
0,113,IS_LINKED_TO
0,430,IS_LINKED_TO
0,487,IS_LINKED_TO
0,406,IS_LINKED_TO
0,451,IS_LINKED_TO
0,225,IS_LINKED_TO
0,144,IS_LINKED_TO
0,181,IS_LINKED_TO
0,341,IS_LINKED_TO
0,452,IS_LINKED_TO
0,226,IS_LINKED_TO
0,206,IS_LINKED_TO
